test_id,channel_id,rtt_seconds
0,1484428147838685275,0.5459
30,1484428151361638541,0.6681
120,1484428158244491324,0.5434
210,1484428165148573806,0.6159
240,1484428167660830811,0.6746
40,1484428152007557271,1.1416
10,1484428149281263616,1.2285
330,1484428174933622945,0.6174
20,1484428150170451978,1.2395
110,1484428157556887633,1.0486
50,1484428152632508488,1.2061
60,1484428153467441263,1.2015
100,1484428156894183434,1.1406
70,1484428154490716200,1.2101
150,1484428160253825024,1.0478
380,1484428179241304075,0.5904
410,1484428181652902000,0.5182
360,1484428177689411625,0.6325
140,1484428159720886347,1.0891
430,1484428182852730964,0.5013
80,1484428155241500785,1.182
90,1484428156113911858,1.1817
460,1484428185377701929,0.5373
160,1484428160782303313,1.1268
390,1484428179958534225,0.6822
130,1484428158739677237,1.192
170,1484428161352597595,1.1098
200,1484428164183625739,1.0601
440,1484428184022679602,0.5925
400,1484428180839207032,0.6746
220,1484428165895163945,1.0371
490,1484428187743289344,0.5028
450,1484428184286920715,0.5788
480,1484428187009159319,0.5266
250,1484428168235585627,0.9973
470,1484428186249855006,0.592
420,1484428182110081106,0.7244
190,1484428162871070812,1.1824
290,1484428172261855242,0.9776
180,1484428162338394213,1.2248
270,1484428170860953620,1.0544
300,1484428172912099369,1.0085
260,1484428169283895346,1.0743
230,1484428166826037358,1.145
350,1484428176695496824,1.0417
280,1484428171347628123,1.1806
320,1484428174350876782,1.1301
1,1484428147838685275,0.6307
340,1484428176003305512,1.1213
370,1484428178519883866,1.0655
41,1484428152007557271,0.606
31,1484428151361638541,0.5452
21,1484428150170451978,0.5746
91,1484428156113911858,0.5012
121,1484428158244491324,0.4445
151,1484428160253825024,0.4473
261,1484428169283895346,0.4888
211,1484428165148573806,0.6048
131,1484428158739677237,0.572
191,1484428162871070812,0.685
221,1484428165895163945,0.6686
11,1484428149281263616,1.1229
141,1484428159720886347,0.942
71,1484428154490716200,1.1418
51,1484428152632508488,1.1089
101,1484428156894183434,1.0837
171,1484428161352597595,0.9648
361,1484428177689411625,0.5231
331,1484428174933622945,0.6582
111,1484428157556887633,1.0744
341,1484428176003305512,0.5931
61,1484428153467441263,1.1773
81,1484428155241500785,1.1234
481,1484428187009159319,0.526
461,1484428185377701929,0.6556
471,1484428186249855006,0.5779
181,1484428162338394213,1.0095
241,1484428167660830811,1.0507
421,1484428182110081106,0.5219
431,1484428182852730964,0.6911
451,1484428184286920715,0.4865
441,1484428184022679602,0.6284
201,1484428164183625739,1.1937
271,1484428170860953620,1.061
281,1484428171347628123,1.05
231,1484428166826037358,1.126
321,1484428174350876782,1.085
161,1484428160782303313,1.174
251,1484428168235585627,1.1564
72,1484428154490716200,0.4433
301,1484428172912099369,1.1761
52,1484428152632508488,0.4866
371,1484428178519883866,1.1136
92,1484428156113911858,0.4256
291,1484428172261855242,1.3516
112,1484428157556887633,0.5331
122,1484428158244491324,0.5039
391,1484428179958534225,1.1624
2,1484428147838685275,0.816
82,1484428155241500785,0.6212
142,1484428159720886347,0.5377
22,1484428150170451978,0.7276
12,1484428149281263616,0.554
401,1484428180839207032,1.1126
381,1484428179241304075,1.2169
262,1484428169283895346,0.5296
212,1484428165148573806,0.5922
42,1484428152007557271,1.0089
491,1484428187743289344,1.3391
310,1484428173545574411,2.8489
332,1484428174933622945,0.5141
292,1484428172261855242,0.6669
132,1484428158739677237,0.7296
322,1484428174350876782,0.5253
152,1484428160253825024,1.0021
282,1484428171347628123,0.5882
32,1484428151361638541,1.1671
412,1484428181652902000,0.5195
62,1484428153467441263,1.1336
372,1484428178519883866,0.5845
102,1484428156894183434,1.179
172,1484428161352597595,1.1383
472,1484428186249855006,0.4937
192,1484428162871070812,1.1091
402,1484428180839207032,0.5483
222,1484428165895163945,1.0091
162,1484428160782303313,1.0627
202,1484428164183625739,1.0624
302,1484428172912099369,1.075
242,1484428167660830811,1.0787
43,1484428152007557271,0.4403
442,1484428184022679602,0.5124
452,1484428184286920715,0.5993
232,1484428166826037358,1.0637
272,1484428170860953620,1.1373
342,1484428176003305512,1.0058
182,1484428162338394213,1.0915
362,1484428177689411625,1.0781
252,1484428168235585627,1.301
73,1484428154490716200,0.6345
93,1484428156113911858,0.5796
63,1484428153467441263,0.6737
53,1484428152632508488,0.6858
193,1484428162871070812,0.5064
123,1484428158244491324,0.6056
113,1484428157556887633,0.6144
103,1484428156894183434,0.6373
462,1484428185377701929,1.1538
492,1484428187743289344,1.1769
432,1484428182852730964,1.1034
422,1484428182110081106,1.1297
223,1484428165895163945,0.5167
482,1484428187009159319,1.121
83,1484428155241500785,0.7838
133,1484428158739677237,0.5105
163,1484428160782303313,0.608
263,1484428169283895346,0.6758
153,1484428160253825024,0.9825
33,1484428151361638541,0.985
23,1484428150170451978,1.0098
333,1484428174933622945,0.4841
343,1484428176003305512,0.4846
183,1484428162338394213,0.5793
3,1484428147838685275,1.1172
382,1484428179241304075,1.3893
393,1484428179958534225,0.4281
311,1484428173545574411,1.1177
253,1484428168235585627,0.6598
173,1484428161352597595,1.074
413,1484428181652902000,0.6642
13,1484428149281263616,1.1783
473,1484428186249855006,0.5106
143,1484428159720886347,1.1721
353,1484428176695496824,0.6743
213,1484428165148573806,1.0723
403,1484428180839207032,0.5106
203,1484428164183625739,1.0641
243,1484428167660830811,1.0095
303,1484428172912099369,1.0529
293,1484428172261855242,1.0932
463,1484428185377701929,0.5893
273,1484428170860953620,1.0735
323,1484428174350876782,1.0732
443,1484428184022679602,0.5642
24,1484428150170451978,0.45
373,1484428178519883866,1.0737
283,1484428171347628123,1.1346
453,1484428184286920715,0.5919
233,1484428166826037358,1.2452
363,1484428177689411625,1.148
74,1484428154490716200,0.5414
94,1484428156113911858,0.6383
104,1484428156894183434,0.432
4,1484428147838685275,0.6191
124,1484428158244491324,0.5679
144,1484428159720886347,0.5204
423,1484428182110081106,0.9488
44,1484428152007557271,0.8416
14,1484428149281263616,0.5387
194,1484428162871070812,0.6252
304,1484428172912099369,0.5156
184,1484428162338394213,0.6027
244,1484428167660830811,0.6159
154,1484428160253825024,1.0168
84,1484428155241500785,0.7205
364,1484428177689411625,0.5674
64,1484428153467441263,0.973
54,1484428152632508488,1.032
204,1484428164183625739,0.7864
34,1484428151361638541,1.2251
214,1484428165148573806,1.073
414,1484428181652902000,0.5733
404,1484428180839207032,0.4624
344,1484428176003305512,0.6912
354,1484428176695496824,0.5959
474,1484428186249855006,0.5297
114,1484428157556887633,1.1586
174,1484428161352597595,1.1696
264,1484428169283895346,1.1042
134,1484428158739677237,0.9605
384,1484428179241304075,0.5746
224,1484428165895163945,1.159
284,1484428171347628123,0.9632
75,1484428154490716200,0.4819
234,1484428166826037358,1.0935
394,1484428179958534225,1.0001
164,1484428160782303313,1.0745
454,1484428184286920715,0.5003
374,1484428178519883866,1.1173
334,1484428174933622945,1.15
274,1484428170860953620,1.132
444,1484428184022679602,0.6675
155,1484428160253825024,0.52
195,1484428162871070812,0.5585
95,1484428156113911858,0.5784
434,1484428182852730964,1.0004
15,1484428149281263616,0.4975
145,1484428159720886347,0.642
424,1484428182110081106,1.0121
105,1484428156894183434,0.568
313,1484428173545574411,0.5802
464,1484428185377701929,1.0022
494,1484428187743289344,1.0521
484,1484428187009159319,1.0612
185,1484428162338394213,0.5405
135,1484428158739677237,0.616
365,1484428177689411625,0.5544
235,1484428166826037358,0.505
165,1484428160782303313,0.5108
225,1484428165895163945,0.7153
415,1484428181652902000,0.5394
355,1484428176695496824,0.5892
345,1484428176003305512,0.584
295,1484428172261855242,1.0712
175,1484428161352597595,1.1368
215,1484428165148573806,1.194
265,1484428169283895346,1.1533
465,1484428185377701929,0.5321
294,1484428172261855242,2.3492
85,1484428155241500785,0.9778
305,1484428172912099369,1.1242
115,1484428157556887633,1.165
455,1484428184286920715,0.5729
255,1484428168235585627,1.0835
275,1484428170860953620,1.1317
395,1484428179958534225,1.0882
46,1484428152007557271,0.4754
26,1484428150170451978,0.5542
245,1484428167660830811,1.2758
6,1484428147838685275,0.4516
335,1484428174933622945,1.1999
36,1484428151361638541,0.5454
325,1484428174350876782,1.1769
146,1484428159720886347,0.448
156,1484428160253825024,0.6892
196,1484428162871070812,0.5132
445,1484428184022679602,0.7279
405,1484428180839207032,1.0687
205,1484428164183625739,0.5402
385,1484428179241304075,1.0461
485,1484428187009159319,1.0174
475,1484428186249855006,1.0833
495,1484428187743289344,1.0947
176,1484428161352597595,0.6004
376,1484428178519883866,0.4951
116,1484428157556887633,0.5596
296,1484428172261855242,0.5602
286,1484428171347628123,0.5109
435,1484428182852730964,1.1823
216,1484428165148573806,0.5852
266,1484428169283895346,0.6336
425,1484428182110081106,1.2135
136,1484428158739677237,0.4475
186,1484428162338394213,0.6918
314,1484428173545574411,1.074
96,1484428156113911858,1.1261
476,1484428186249855006,0.4664
416,1484428181652902000,0.5412
56,1484428152632508488,1.2969
486,1484428187009159319,0.4337
356,1484428176695496824,0.7142
346,1484428176003305512,0.6068
386,1484428179241304075,0.5977
106,1484428156894183434,1.2335
426,1484428182110081106,0.5612
466,1484428185377701929,0.6769
276,1484428170860953620,1.0551
396,1484428179958534225,1.1108
157,1484428160253825024,0.5187
366,1484428177689411625,1.12
77,1484428154490716200,0.6034
436,1484428182852730964,0.6947
246,1484428167660830811,1.1556
456,1484428184286920715,0.6507
147,1484428159720886347,0.6116
197,1484428162871070812,0.5697
127,1484428158244491324,0.6862
267,1484428169283895346,0.4578
206,1484428164183625739,0.5741
177,1484428161352597595,0.5739
377,1484428178519883866,0.5499
57,1484428152632508488,0.7297
187,1484428162338394213,0.622
237,1484428166826037358,0.6079
16,1484428149281263616,2.06
126,1484428158244491324,2.1759
326,1484428174350876782,1.618
47,1484428152007557271,1.1047
37,1484428151361638541,1.101
97,1484428156113911858,0.992
397,1484428179958534225,0.5748
446,1484428184022679602,1.1457
277,1484428170860953620,0.6077
107,1484428156894183434,1.0253
27,1484428150170451978,1.2552
7,1484428147838685275,1.1545
315,1484428173545574411,1.0788
327,1484428174350876782,0.6014
247,1484428167660830811,0.6872
407,1484428180839207032,0.4839
497,1484428187743289344,0.4725
287,1484428171347628123,0.9978
117,1484428157556887633,1.0644
487,1484428187009159319,0.4614
167,1484428160782303313,0.9645
427,1484428182110081106,0.447
307,1484428172912099369,0.9896
217,1484428165148573806,1.1212
297,1484428172261855242,1.1524
87,1484428155241500785,1.0686
257,1484428168235585627,1.0292
387,1484428179241304075,0.767
158,1484428160253825024,0.5129
447,1484428184022679602,0.4855
437,1484428182852730964,0.5775
467,1484428185377701929,0.6068
417,1484428181652902000,0.9749
337,1484428174933622945,1.1755
78,1484428154490716200,0.5698
48,1484428152007557271,0.5304
66,1484428153467441263,2.8676
347,1484428176003305512,1.036
137,1484428158739677237,1.3186
477,1484428186249855006,1.1109
178,1484428161352597595,0.4707
198,1484428162871070812,0.5372
357,1484428176695496824,1.2332
298,1484428172261855242,0.5936
188,1484428162338394213,0.6735
38,1484428151361638541,1.1379
28,1484428150170451978,1.1652
316,1484428173545574411,1.1472
348,1484428176003305512,0.5776
148,1484428159720886347,1.162
328,1484428174350876782,0.7219
207,1484428164183625739,1.0439
268,1484428169283895346,0.9754
58,1484428152632508488,1.0575
288,1484428171347628123,1.0257
128,1484428158244491324,1.2718
378,1484428178519883866,1.1071
488,1484428187009159319,0.4956
478,1484428186249855006,0.6909
418,1484428181652902000,1.0907
338,1484428174933622945,1.1051
428,1484428182110081106,0.8413
448,1484428184022679602,0.6621
278,1484428170860953620,1.2284
228,1484428165895163945,1.1835
79,1484428154490716200,0.6033
17,1484428149281263616,1.2276
388,1484428179241304075,1.1033
258,1484428168235585627,1.3494
159,1484428160253825024,0.7751
129,1484428158244491324,0.5711
317,1484428173545574411,0.5742
67,1484428153467441263,1.1634
408,1484428180839207032,1.0398
248,1484428167660830811,1.3046
168,1484428160782303313,1.4688
398,1484428179958534225,1.3067
118,1484428157556887633,1.5066
368,1484428177689411625,1.3382
88,1484428155241500785,1.3892
39,1484428151361638541,0.6068
218,1484428165148573806,1.4434
199,1484428162871070812,0.5486
458,1484428184286920715,0.7377
308,1484428172912099369,1.4837
109,1484428156894183434,0.7428
149,1484428159720886347,0.5242
379,1484428178519883866,0.4933
468,1484428185377701929,0.8379
29,1484428150170451978,0.7328
138,1484428158739677237,1.2349
49,1484428152007557271,0.6782
208,1484428164183625739,0.5567
238,1484428166826037358,1.5001
269,1484428169283895346,0.5554
358,1484428176695496824,1.3352
189,1484428162338394213,0.6217
99,1484428156113911858,1.0228
438,1484428182852730964,1.0288
9,1484428147838685275,1.0739
249,1484428167660830811,0.6276
259,1484428168235585627,0.7371
309,1484428172912099369,0.6681
359,1484428176695496824,0.5715
329,1484428174350876782,0.635
489,1484428187009159319,0.5533
68,1484428153467441263,0.6937
179,1484428161352597595,1.2626
59,1484428152632508488,1.261
429,1484428182110081106,0.4159
449,1484428184022679602,0.4471
279,1484428170860953620,0.9459
299,1484428172261855242,1.1021
349,1484428176003305512,0.5378
409,1484428180839207032,0.8515
239,1484428166826037358,1.0803
419,1484428181652902000,0.9873
169,1484428160782303313,1.0113
89,1484428155241500785,1.0207
369,1484428177689411625,0.9693
229,1484428165895163945,0.9958
399,1484428179958534225,1.0368
219,1484428165148573806,1.1387
459,1484428184286920715,0.4932
18,1484428149281263616,1.0969
119,1484428157556887633,1.1829
139,1484428158739677237,0.9577
469,1484428185377701929,0.4611
339,1484428174933622945,1.0949
499,1484428187743289344,0.9833
479,1484428186249855006,1.062
318,1484428173545574411,0.5324
209,1484428164183625739,0.5422
289,1484428171347628123,1.6236
498,1484428187743289344,2.6576
19,1484428149281263616,0.5569
439,1484428182852730964,1.0659
69,1484428153467441263,1.1387
319,1484428173545574411,0.5724
389,1484428179241304075,2.6768
